,,,,,,,,,,,,,
name,type,group,investment_method,capacity,technical_lifetime,economic_lifetime,discount_rate,capacity_storage_energy,country,technology,lat,lon
BG_Solar,producer,,none,3216.0,1.0,1.0,0.0,0.0,BG,Solar,42.7339,25.4858
BG_Hydro,producer,,none,536.0,1.0,1.0,0.0,0.0,BG,Hydro,42.7339,25.4858
BG_Nuclear,producer,,none,1960.0,1.0,1.0,0.0,0.0,BG,Nuclear,42.7339,25.4858
BG_Coal,producer,,none,2519.0,1.0,1.0,0.0,0.0,BG,Coal,42.7339,25.4858
BG_Gas,producer,,none,2005.0,1.0,1.0,0.0,0.0,BG,Gas,42.7339,25.4858
BG_OCGT,producer,,none,20.0,1.0,1.0,0.0,0.0,BG,OCGT,42.7339,25.4858
RO_E_ENS,producer,,none,10352.0,1.0,1.0,0.0,0.0,RO,E_ENS,45.9432,24.9668
RO_Wind_Onshore,producer,,none,5255.0,1.0,1.0,0.0,0.0,RO,Wind_Onshore,45.9432,24.9668
RO_Solar,producer,,none,5054.0,1.0,1.0,0.0,0.0,RO,Solar,45.9432,24.9668
RO_Hydro,producer,,none,3366.0,1.0,1.0,0.0,0.0,RO,Hydro,45.9432,24.9668
RO_Nuclear,producer,,none,1965.0,1.0,1.0,0.0,0.0,RO,Nuclear,45.9432,24.9668
RO_Coal,producer,,none,2264.0,1.0,1.0,0.0,0.0,RO,Coal,45.9432,24.9668
RO_Gas,producer,,none,5689.0,1.0,1.0,0.0,0.0,RO,Gas,45.9432,24.9668
RO_OCGT,producer,,none,1015.0,1.0,1.0,0.0,0.0,RO,OCGT,45.9432,24.9668
CY_E_ENS,producer,,none,1331.0,1.0,1.0,0.0,0.0,CY,E_ENS,35.1264,33.4299
CY_Wind_Onshore,producer,,none,198.0,1.0,1.0,0.0,0.0,CY,Wind_Onshore,35.1264,33.4299
CY_Solar,producer,,none,800.0,1.0,1.0,0.0,0.0,CY,Solar,35.1264,33.4299
CY_Gas,producer,,none,1210.0,1.0,1.0,0.0,0.0,CY,Gas,35.1264,33.4299
NL_Battery,storage,,none,5800.0,1.0,1.0,0.0,17400,NL,Battery,52.1326,5.2913
